restaurant,city,menu_type,category,dish,price,description,tags
Jack and Jacky's,Leeuwarden,Lunch,BOWLS,AÇAI BOWL,"13,20","Açai, banaan, kokosdrink, granola, pindaswirl, gojibessen, kokos, hennepzaad & blauwe bessen",
Jack and Jacky's,Leeuwarden,Lunch,BOWLS,CHEESECAKE OATS,"10,80","Overnight oats, Griekse yoghurt, aardbeienpuree, blauwe bessen, granola, aardbeien & frambozen",
Jack and Jacky's,Leeuwarden,Lunch,BOWLS,MANGO MADNESS BOWL,"11,60","Mango, banaan, kokosdrink, aardbei, granola, hennepzaad, yoghurt swirl & kokos",
Jack and Jacky's,Leeuwarden,Lunch,BOWLS,BREAKFAST BOWL,"10,10","Griekse yoghurt, granola, banaan, chiazaad, blauwe bessen, frambozen, gojibessen & agavesiroop",
Jack and Jacky's,Leeuwarden,Lunch,PANCAKES,BERRY PANCAKES,"14,60","Bananen pannenkoekjes, Griekse yoghurtroom, banaan, rood fruit puree, blauwe bessen, frambozen, agavesiroop & aardbeien",
Jack and Jacky's,Leeuwarden,Lunch,PANCAKES,LEMON POPPY PANCAKES,"14,30","Bananen pannenkoekjes, opgeklopte mascarpone met mango en citroen, mango puree, blauwmaanzaad, passievruchtsaus & kokos chips",
Jack and Jacky's,Leeuwarden,Lunch,PANCAKES,KIDS PANCAKES,"7,30","Twee kleine bananen pannenkoekjes, blauwe bessen, banaan, aardbei & agavesiroop",
Jack and Jacky's,Leeuwarden,Lunch,SANDWICHES,TUNA,"9,60","Gegrild volkorenbrood, tonijnsalade, avocado, tomaat & huisgemaakte groene pesto",
Jack and Jacky's,Leeuwarden,Lunch,SANDWICHES,CHICKEN,"9,90","Gegrild volkorenbrood, tomaat, gegrilde kip, avocado & huisgemaakte groene pesto",
Jack and Jacky's,Leeuwarden,Lunch,SANDWICHES,KIMCHI,"9,10","Gegrild volkorenbrood, kimchi, smashed avocado, miso & komkommer",
Jack and Jacky's,Leeuwarden,Lunch,SANDWICHES,SPICY AVOCADO,"9,60","Gegrild volkorenbrood,smashed avocado, feta & crispy chili olie",
Jack and Jacky's,Leeuwarden,Lunch,SANDWICHES,SALMON,"11,90","Gegrild volkorenbrood, gerookte zalm, furikake, avocado, hoisin zuivelspread, wasabidressing & komkommer",
Jack and Jacky's,Leeuwarden,Lunch,SANDWICHES,SERRANOHAM,"11,60","Gegrild volkorenbrood, serranoham, mozzarella, tomaat, sla, balsamico & groene pesto",
Jack and Jacky's,Leeuwarden,Lunch,SANDWICHES,CEASER,"10,60","Gegrild volkorenbrood, gemarineerde kip, romeinse sla, ceaserdressing, gekookt ei & parmezaanse kaas",
Jack and Jacky's,Leeuwarden,Lunch,SANDWICHES,BURRATA,"10,90","Gegrild volkorenbrood, burrata, pesto, zoete cherrytomaat, basilicum & pistachecrumble",
Jack and Jacky's,Leeuwarden,Lunch,SANDWICHES,CARPACCIO,"11,30","Gegrild volkorenbrood, pesto, rundercarpaccio, tomaat, sla, Parmezaanse kaas & truffelmayo",
Jack and Jacky's,Leeuwarden,Lunch,SALADS,CHICKEN,"14,90","Gegrilde kip, avocado, crispy tuinbonen, komkommer, tomaat, geroosterde pittenmix, gekookt ei & huisgemaakte groene pesto",
Jack and Jacky's,Leeuwarden,Lunch,SALADS,SALMON,"16,90","Gerookte zalm, furikake, avocado, hoisin zuivespread, radijs, wasabi dressing, komkommer & cashewnoten",
Jack and Jacky's,Leeuwarden,Lunch,SALADS,BURRATA,"16,90","Burrata, komkommer, vijgen, gerookte amandelen, tomaat, balsamico, huisgemaakte groene pesto & pistachecrumble",
Jack and Jacky's,Leeuwarden,Lunch,SALADS,CARPACCIO,"15,30","Rundercarpaccio, pesto, tomaat, komkommer, Parmezaanse kaas, crispy tuinbonen, zongedroogde tomaat & truffelmayo",
Jack and Jacky's,Leeuwarden,Lunch,SALADS,EXTRA'S,"2,00",Glutenvrij brood,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,,"1,50",Gekookt eitje,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,,"2,00",Halve avocado,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,,"2,50",Extra gerookte zalm,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,,"1,40",Extra serranoham,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,,"0,30",Crispy chili oil,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,,"4,50",Schaaltje vers fruit,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,KOFFIE,"3,30",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,AMERICANO,"3,40",Iced / hot,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,ESPRESSO,"3,30",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,DOUBLE ESPRESSO,"3,80",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,ESPRESSO MACCHIATO,"3,50",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,CAPPUCCINO,"3,80",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,CORTADO,"3,50",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,FLAT WHITE,"4,30",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,LATTE MACCHIATO,"4,10",Iced / hot,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,MOCHA COFFEE,"4,50",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,BABYCCINO,"2,60",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,COFFEE SHAKE,"6,40","Espresso, vanille-sojadrink, ijsklontjes & banaan",
Jack and Jacky's,Leeuwarden,Lunch,SALADS,FRESH MINT,"3,90",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,FRESH GINGER,"3,90",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,CHAMOMILE LAVENDER,"3,60",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,ROOIBOS ORANGE,"3,60",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,PURE GREEN,"3,60",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,SPICY LEMON,"3,60",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,CHAI LATTE,"4,90",Iced / hot,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,DIRTY CHAI LATTE,"5,40",Iced / hot,
Jack and Jacky's,Leeuwarden,Lunch,BAKERY,BANANABREAD,"4,80",Van de grill met verse banaan,
Jack and Jacky's,Leeuwarden,Lunch,BAKERY,CARROTCAKE,"5,40",Met vanille frosting,
Jack and Jacky's,Leeuwarden,Lunch,BAKERY,CHOCOLATE CAKE,"5,40",Met drie soorten chocolade,
Jack and Jacky's,Leeuwarden,Lunch,KIDS FOOD,KIDS PANCAKES,"7,30","Twee kleine bananen pannenkoekjes, blauwe bessen, banaan, aardbei & agavesiroop",
Jack and Jacky's,Leeuwarden,Lunch,KIDS FOOD,MINI YOGHURT BOWL,"5,90","Griekse yoghurt, granola, banaan, chiazaad, gojibessen, frambozen, blauwe bessen & agavesiroop",
Jack and Jacky's,Leeuwarden,Lunch,KIDS FOOD,BOWL OF FRESH FRUIT,"4,50",Gevarieerd vers gesneden fruit,
Jack and Jacky's,Leeuwarden,Lunch,KIDS FOOD,BANANABREAD,"4,80",Van de grill met verse banaan,
Roast,Leeuwarden,Lunch,Soepen,Currysoep,"8,5",met kip en bosui,
Roast,Leeuwarden,Lunch,Soepen,Mosterdsoep,"8,5",met spek en bosui - kan vegetarisch,
Roast,Leeuwarden,Lunch,Roast Eggs,Gerookte zalm,"19,5",op getoast briochebrood met gepocheerde eieren en Hollandaise,
Roast,Leeuwarden,Lunch,Roast Eggs,Gerookte biefstuk,"19,5",op getoast briochebrood met gepocheerde eieren en Hollandaise,
Roast,Leeuwarden,Lunch,Roast Eggs,Oude kaas,14,op getoast briochebrood met gepocheerde eieren en Hollandaise,
Roast,Leeuwarden,Lunch,Croissant Bun,Carpaccio,15,"van gerookte biefstuk, pesto, zongedroogde tomaat en parmezaanse kaas",
Roast,Leeuwarden,Lunch,Croissant Bun,Smashed Avocado,15,"met tomaat, chiliflakes, gepocheerd ei en Hollandaise",
Roast,Leeuwarden,Lunch,Maaltijdsalade,Caesar Salade,"19,5","met krokante kip, little gem, parmezaanse kaas, krokant spek en ansjovis-mayonaise",
Roast,Leeuwarden,Lunch,Maaltijdsalade,Geitenkaas Salade,"17,5","met appel, rode biet en balsamico",
Roast,Leeuwarden,Lunch,Bijgerechten,Friet,5,,
Roast,Leeuwarden,Lunch,Bijgerechten,Truffelfriet,"8,5",met truffelmayonaise en Parmezaanse kaas,
Roast,Leeuwarden,Lunch,Bijgerechten,Zuurdesembol,7,met twee soorten boter,
Roast,Leeuwarden,Lunch,Burgers & Buns,Runderburger,"19,5","met gekarameliseerde ui, tomaat, cheddar, katenspek en BBQ-saus - geserveerd met friet",
Roast,Leeuwarden,Lunch,Burgers & Buns,Beyondburger,"19,5","met gekarameliseerde ui, cheddar, tomaat en BBQ-saus - geserveerd met friet",
Roast,Leeuwarden,Lunch,Burgers & Buns,Jalapeño-Cheddar hotdog,"15,5","Op brioche bun met relish van Amsterdamse ui, ketchup-crunch, mosterd-mayonaise, bosui en krokante ui",
Roast,Leeuwarden,Lunch,Zuurdesem brood,Smashed Avocado,"15,5","op getoast desembrood met smashed avocado, tomaat, mozzarella en dressing van citroen en munt",
Roast,Leeuwarden,Lunch,Zuurdesem brood,Caesar Sandwich,"15,5","met krokante kip, little gem, parmezaanse kaas, krokant spek en ansjovis-mayonaise",
Roast,Leeuwarden,Lunch,Zuurdesem brood,Geitenkaas,14,"met gesuikerde amandelen, rode biet en balsamico",
Roast,Leeuwarden,Lunch,Zuurdesem brood,Gerookte zalm,"15,5","met wasabi-mayonaise, avocado, gekookt ei, wakame en nori",
Roast,Leeuwarden,Lunch,Lunchplank,Lunchplank,"22,5 p.p.","(Vanaf 2 personen) soepje en divers belegde broodjes, warm en koud",
Roast,Leeuwarden,Dinner,Bar Bites en Aperitieven,Oester,5,naturel,
Roast,Leeuwarden,Dinner,Bar Bites en Aperitieven,Oester,"5,5",met frambozen azijn en sjalot / Mango-sour en piment d'espelette,
Roast,Leeuwarden,Dinner,Bar Bites en Aperitieven,Iberico,"7,5",,
Roast,Leeuwarden,Dinner,Bar Bites en Aperitieven,Zuurdesembol,7,met twee soorten boter,
Roast,Leeuwarden,Dinner,Bar Bites en Aperitieven,Krokante kip,5,"Gojuchan-mayo , little gem, zoet-zure rode kool",
Roast,Leeuwarden,Dinner,Bar Bites en Aperitieven,Taco steak tartaar,"5,5","Miso-mayo, krokante ui en rode peper",
Roast,Leeuwarden,Dinner,Bar Bites en Aperitieven,Taco gerookte zalm,"5,5","wakame, furikake-mayo, bosui en krokante ui",
Roast,Leeuwarden,Dinner,Bar Bites en Aperitieven,Taco caprese,"5,5","tomaat, mozzarella en basilicumcrème - vegetarisch",
Roast,Leeuwarden,Dinner,Bar Bites en Aperitieven,Taco trio,15,Alle drie de taco's. Wel zo lekker!,
Roast,Leeuwarden,Dinner,Voor ieder wat wils - koude gerechten,Steak tartaar,15,miso-mayo en krokante aardappel,
Roast,Leeuwarden,Dinner,Voor ieder wat wils - koude gerechten,Shortrib,15,"aardappel kaantjes, zwarte knoflook crème en truffel jus",
Roast,Leeuwarden,Dinner,Voor ieder wat wils - koude gerechten,Zalm,15,cracker van furikake en crème van wasabi en dille,
Roast,Leeuwarden,Dinner,Voor ieder wat wils - koude gerechten,Gepekelde makreel,15,rode biet en Granny Smith appel,
Roast,Leeuwarden,Dinner,Voor ieder wat wils - koude gerechten,Knolselderij,12,"jalapeño crème, augurk en manchego - vegetarisch",
Roast,Leeuwarden,Dinner,Voor ieder wat wils - koude gerechten,Little Gem,9,peterselie crème en uien crunch - vegetarisch,
Roast,Leeuwarden,Dinner,Voor ieder wat wils - warme gerechten,Lendebiefstuk,18,uiencrème en oosterse lak,
Roast,Leeuwarden,Dinner,Voor ieder wat wils - warme gerechten,Boneless ribs,15,aardappelsalade en gojuchang-mayo,
Roast,Leeuwarden,Dinner,Voor ieder wat wils - warme gerechten,Kipspies van de grill,15,bosui en teriyaki crunch,
Roast,Leeuwarden,Dinner,Voor ieder wat wils - warme gerechten,Kabeljauw,15,paddenstoelensaus en pastinaak,
Roast,Leeuwarden,Dinner,Voor ieder wat wils - warme gerechten,Schelvis,15,"knolselderij remoulade, pommes Pont Neuf en Hollandaise saus",
Roast,Leeuwarden,Dinner,Voor ieder wat wils - warme gerechten,Bloemkool,15,"amandel, curry crème en saus van kimchi - vegetarisch",
Roast,Leeuwarden,Dinner,Voor ieder wat wils - warme gerechten,Korkante aardappel,15,"oude Remeker, oesterzwam en paddestoelen-mayo - vegetarisch",
Roast,Leeuwarden,Dinner,Voor ieder wat wils - warme gerechten,Gegrilde aubergine,14,met miso - vegetarisch,
Roast,Leeuwarden,Dinner,Bijgerechten,Friet,5,mayonaise,
Roast,Leeuwarden,Dinner,Bijgerechten,Truffelfriet,"8,5",met Parmezaanse kaas,
Roast,Leeuwarden,Dinner,Bijgerechten,Ceaser salade,9,"krokante kip, Parmezaanse kaas, spek en ansjovis-mayo",
Roast,Leeuwarden,Dinner,Bijgerechten,Gepofte aardappel,6,"kaast crème, spek en bieslook",
Roast,Leeuwarden,Dinner,Voor ieder wat wils - desserts,Kaasplank,17,kazen van Kaasfort Amsterdam,
Roast,Leeuwarden,Dinner,Voor ieder wat wils - desserts,Friandises,"6,5","huisgemaakte lekkernijen, lekker met koffie!",
Roast,Leeuwarden,Dinner,Voor ieder wat wils - desserts,Suikerbrood parfait,12,in koffie gegaarde peer en gezouten karamel,
Roast,Leeuwarden,Dinner,Voor ieder wat wils - desserts,Chocolademousse,12,gemarineerde sinaasappel en vanille ijs,
Roast,Leeuwarden,Dinner,Voor ieder wat wils - desserts,Lemoncurd,12,"citroenijs, crumble en meringue",
Baylings,Leeuwarden,Lunch,Lunch,Broodplank,"7,25",met kruidenboter en aioli,
Baylings,Leeuwarden,Lunch,Lunch,Baylings dips,"12,25",5 soorten dips geserveerd met brood,
Baylings,Leeuwarden,Lunch,Soepen,Toscaanse tomatensoep,"8,50",pesto,
Baylings,Leeuwarden,Lunch,Soepen,Thaise kippenbouillon,"8,50",noodles/taugé/rode peper/koriander/kip,
Baylings,Leeuwarden,Lunch,Soepen,Mosterd soep,"8,50",gerookte zalm,
Baylings,Leeuwarden,Lunch,Broodjes,Gerookte kip,"11,50",parmezaanse kaas/tomaat/ei/avocado/sla/kruidenmayonaise,
Baylings,Leeuwarden,Lunch,Broodjes,Brie,"11,50",walnoten/rucola/appel/honing,
Baylings,Leeuwarden,Lunch,Broodjes,Runder pastrami,"11,50",pickels/oude kaas/truffel mosterdmayonaise,
Baylings,Leeuwarden,Lunch,Broodjes,Pulled chicken,"11,50",rode ui/peterselie/puntpaprika/sla/chili ketjapsaus,
Baylings,Leeuwarden,Lunch,Broodjes,Zalm,"11,50",radijs/komkommer/kappertjes/bieslook/sla/crème fraîche,
Baylings,Leeuwarden,Lunch,Broodjes,Hummus,"11,50",rode paprika/courgette/aubergine/frisse dressing,
Baylings,Leeuwarden,Lunch,Broodjes,Runder carpaccio,"11,50",truffelmayonaise of pesto/zongedroogde tomaat/kaas/rucola/pijnboompitten,
Baylings,Leeuwarden,Lunch,Salades,Gerookte kip,"14,75",parmezaanse kaas/tomaat/ei/avocado/kruidenmayonaise,
Baylings,Leeuwarden,Lunch,Salades,Caprese,"14,75",buffelmozzarella/vleestomaat/basilicum/olijfolie/pesto,
Baylings,Leeuwarden,Lunch,Salades,Pulled chicken,"14,75",rode ui/peterselie/punt paprika/chili-ketjapsaus,
Baylings,Leeuwarden,Lunch,Salades,Runder pastrami,"14,75",pickels/oude kaas/truffel mosterdmayonaise,
Baylings,Leeuwarden,Lunch,Salades,Gerookte zalm:,"14,75",kappertjes/komkommer/rode ui/citroen/dille/ citroen crème fraîche,
